City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Burgos,ES,57.61,clear sky,42.3394,-3.7079,Hotel Corona de Castilla (Sercotel)
618,Ust-Nera,RU,65.19,scattered clouds,64.5667,143.2,Hotel Ust-Nera
623,Nyandoma,RU,62.01,scattered clouds,61.669,40.1991,"Hotel ""Sputnik"" (Sputnik Hotel)"
624,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
625,Bima,ID,69.84,scattered clouds,-8.4667,118.7167,Lambitu Hotel
631,Montepuez,MZ,64.42,few clouds,-13.1256,38.9997,PembaAparthotel
639,Charters Towers,AU,54.34,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
641,Muros,ES,65.08,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
642,Gornyy,RU,62.53,broken clouds,55.1153,83.9059,Gostinyy Dvor
646,Shumerlya,RU,61.68,scattered clouds,55.5005,46.4129,Otel' Oriyental'
647,Deputatskiy,RU,52.95,overcast clouds,69.3,139.9,Baza Otdykha
653,Gladstone,AU,55.33,clear sky,-23.85,151.25,Highpoint International Hotel
655,Walvis Bay,,53.1,few clouds,-22.9575,14.5053,Oyster Box Guesthouse
656,Lerwick,GB,53.6,scattered clouds,60.1545,-1.1494,The Lerwick Hotel
659,Ilinskiy,RU,68.31,clear sky,55.619,38.1182,Around the world
666,Ambilobe,MG,65.12,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
668,Imeni Poliny Osipenko,RU,64.02,clear sky,52.4201,136.4853,Yubileynaya
670,Ararangua,BR,62.87,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
671,Severnyy,RU,69.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
673,Ahipara,NZ,58.71,light rain,-35.1667,173.1667,Ahipara Holiday Park
676,Saint-Pierre,RE,69.91,overcast clouds,-21.3393,55.4781,Alize Plage
677,Salym,RU,53.8,overcast clouds,60.0625,71.4789,Gostinitsa Salym
679,Siyabuswa,ZA,61.63,scattered clouds,-25.1132,29.0445,Confy Inn Guest Rooms
682,Galesong,ID,69.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
684,Richards Bay,ZA,64.35,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
685,Cap Malheureux,MU,68.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
